t,x,conv,f,g
-8.0,-8.0,3.171738205672363e-14,3.207621781097276e-28,1.603810890548638e-28
-7.9,-7.9,6.906457374495753e-14,1.5729371871532839e-27,7.8646859357664195e-28
-7.800000000000001,-7.800000000000001,1.4915863330825484e-13,7.56055568955209e-27,3.780277844776045e-27
-7.700000000000001,-7.700000000000001,3.198175886621677e-13,3.562133269514135e-26,1.7810666347570674e-26
-7.600000000000001,-7.600000000000001,6.813214145904889e-13,1.645056130321302e-25,8.22528065160651e-26
-7.500000000000002,-7.500000000000002,1.4428107099213147e-12,7.446726243500809e-25,3.7233631217504045e-25
-7.400000000000002,-7.400000000000002,3.0376872810864452e-12,3.3041835646284265e-24,1.6520917823142133e-24
-7.3000000000000025,-7.3000000000000025,6.357329385815674e-12,1.4370671271803888e-23,7.185335635901944e-24
-7.200000000000003,-7.200000000000003,1.3218786351116958e-11,6.126381729154643e-23,3.0631908645773214e-23
-7.100000000000003,-7.100000000000003,2.728814511103403e-11,2.5600306381031655e-22,1.2800153190515828e-22
-7.0000000000000036,-7.0000000000000036,5.587685769429735e-11,1.0485771326726407e-21,5.242885663363203e-22
-6.900000000000004,-6.900000000000004,1.1338212170492987e-10,4.209879956679232e-21,2.104939978339616e-21
-6.800000000000004,-6.800000000000004,2.277703278492512e-10,1.6567354015364776e-20,8.283677007682388e-21
-6.700000000000005,-6.700000000000005,4.525974024463433e-10,6.390733435496276e-20,3.195366717748138e-20
-6.600000000000005,-6.600000000000005,8.889386232536821e-10,2.416364039799787e-19,1.2081820198998936e-19
-6.500000000000005,-6.500000000000005,1.7247811734852434e-09,8.955464883435966e-19,4.477732441717983e-19
-6.400000000000006,-6.400000000000006,3.304759582777973e-09,3.253329242906255e-18,1.6266646214531274e-18
-6.300000000000006,-6.300000000000006,6.251963722520965e-09,1.1584625770788836e-17,5.792312885394418e-18
-6.200000000000006,-6.200000000000006,1.1270676697154039e-08,4.043431697390377e-17,2.0217158486951886e-17
-6.100000000000007,-6.100000000000007,2.0846881532562056e-08,1.3833507951081805e-16,6.916753975540903e-17
-6.000000000000007,-6.000000000000007,3.8175897850260964e-08,4.639045660486743e-16,2.3195228302433714e-16
-5.9000000000000075,-5.9000000000000075,6.92140841452793e-08,1.5248919810778144e-15,7.624459905389072e-16
-5.800000000000008,-5.800000000000008,1.2423865710713458e-07,4.913190737583832e-15,2.456595368791916e-15
-5.700000000000008,-5.700000000000008,2.2078831015645936e-07,1.5516804151390676e-14,7.758402075695338e-15
-5.6000000000000085,-5.6000000000000085,3.884655027633902e-07,4.803469563241461e-14,2.4017347816207304e-14
-5.500000000000009,-5.500000000000009,6.766839804996607e-07,1.4575448191637935e-13,7.287724095818968e-14
-5.400000000000009,-5.400000000000009,1.1670148651793108e-06,4.335137765237492e-13,2.167568882618746e-13
-5.30000000000001,-5.30000000000001,1.9926174805414964e-06,1.2638571770349433e-12,6.319285885174716e-13
-5.20000000000001,-5.20000000000001,3.3684378516678186e-06,3.6116628750260623e-12,1.8058314375130311e-12
-5.10000000000001,-5.10000000000001,5.637547280052232e-06,1.0116505485686528e-11,5.058252742843264e-12
